"","CustomerID","freq","Total_Sales","Total_Quantity","Country","Classification"
"1691",14646,2069,277991.42,196153,"Netherlands","Platinum"
"4203",18102,431,259657.3,64124,"United Kingdom","Platinum"
"3730",17450,337,194550.79,69993,"United Kingdom","Platinum"
"3010",16446,3,168472.5,80997,"United Kingdom","Platinum"
"1881",14911,5665,143414.409999999,80368,"EIRE","Platinum"
"56",12415,715,124698.53,77470,"Australia","Platinum"
"1335",14156,1397,116796.43,57837,"EIRE","Platinum"
"3773",17511,959,90781.43,64476,"United Kingdom","Platinum"
"2704",16029,242,81024.84,40208,"United Kingdom","Platinum"
"1",12346,1,77183.6,74215,"United Kingdom","Platinum"
"3178",16684,274,65566.56,49355,"United Kingdom","Platinum"
"1291",14096,5111,65164.7899999997,16352,"United Kingdom","Platinum"
"998",13694,568,65039.62,63312,"United Kingdom","Platinum"
"2178",15311,2379,60767.9000000001,38194,"United Kingdom","Platinum"
"4095",17949,70,58510.48,30546,"United Kingdom","Platinum"
"563",13089,1813,58508.5300000001,31032,"United Kingdom","Platinum"
"2519",15769,130,56252.72,29672,"United Kingdom","Platinum"
"1985",15061,403,54534.14,28920,"United Kingdom","Platinum"
"1436",14298,1636,51432.5,58319,"United Kingdom","Platinum"
"1286",14088,587,50304.31,12619,"United Kingdom","Platinum"
"2504",15749,10,44534.3,18028,"United Kingdom","Platinum"
"454",12931,82,42055.96,28004,"United Kingdom","Platinum"
"4012",17841,7842,40973.7200000001,23066,"United Kingdom","Platinum"
"2013",15098,3,39916.5,121,"United Kingdom","Platinum"
"1071",13798,349,37153.85,23948,"United Kingdom","Platinum"
"2690",16013,139,37130.6,15536,"United Kingdom","Platinum"
"2992",16422,369,34684.4,33704,"United Kingdom","Platinum"
"2572",15838,167,33643.08,18368,"United Kingdom","Platinum"
"327",12748,4580,33547.1800000003,25685,"United Kingdom","Platinum"
"3695",17404,198,31906.82,32748,"Sweden","Platinum"
"3685",17389,213,31833.68,7612,"United Kingdom","Platinum"
"571",13098,568,28822.44,15920,"United Kingdom","Platinum"
"1715",14680,258,28754.11,13476,"United Kingdom","Platinum"
"559",13081,1028,28337.38,19160,"United Kingdom","Platinum"
"797",13408,477,28072.04,16196,"United Kingdom","Platinum"
"4023",17857,54,26879.04,19256,"United Kingdom","Platinum"
"2923",16333,45,26626.8,32184,"United Kingdom","Platinum"
"1060",13777,197,25977.16,12897,"United Kingdom","Platinum"
"325",12744,222,21279.29,5241,"Singapore","Platinum"
"331",12753,196,21263.39,11381,"Japan","Platinum"
"2840",16210,122,21068.6,7553,"United Kingdom","Platinum"
"3896",17675,705,20374.28,8360,"United Kingdom","Platinum"
"3677",17381,109,20275.61,25649,"United Kingdom","Platinum"
"1966",15039,1499,19896.64,9205,"United Kingdom","Gold"
"101",12471,457,19779.0499999999,8176,"Germany","Gold"
"2065",15159,710,18641.01,11441,"United Kingdom","Gold"
"315",12731,269,18088.61,8383,"France","Gold"
"270",12678,164,17394.46,10851,"France","Gold"
"1242",14031,250,17286.86,5788,"United Kingdom","Gold"
"3714",17428,328,17256.85,9474,"United Kingdom","Gold"
"1055",13767,368,17220.36,7322,"United Kingdom","Gold"
"1136",13881,178,17159.52,10118,"United Kingdom","Gold"
"3301",16839,266,16594.35,8975,"United Kingdom","Gold"
"446",12921,720,16587.09,9526,"United Kingdom","Gold"
"1664",14607,86,16569.5,11766,"United Kingdom","Gold"
"2585",15856,645,16387.57,11005,"United Kingdom","Gold"
"3898",17677,304,16363.23,9775,"United Kingdom","Gold"
"432",12901,115,16262.54,22475,"United Kingdom","Gold"
"2085",15189,212,16225.39,6149,"United Kingdom","Gold"
"1259",14051,210,15610.39,3756,"United Kingdom","Gold"
"2326",15513,308,14758.22,5709,"United Kingdom","Gold"
"2779",16133,339,14589.04,8888,"United Kingdom","Gold"
"1847",14866,99,14389.9,6752,"United Kingdom","Gold"
"3191",16705,268,13974.99,5428,"United Kingdom","Gold"
"273",12681,637,13768.04,7530,"France","Gold"
"224",12621,463,13614.67,7380,"Germany","Gold"
"72",12433,420,13375.87,11071,"Norway","Gold"
"156",12540,476,13370.24,6661,"Spain","Gold"
"2314",15498,511,13307.55,6102,"United Kingdom","Gold"
"107",12477,299,13202.04,3647,"Germany","Gold"
"3944",17735,690,13110.02,8439,"United Kingdom","Gold"
"3067",16525,183,13027.45,7397,"United Kingdom","Gold"
"1409",14258,111,12669.98,7100,"United Kingdom","Gold"
"556",13078,358,12627.94,5630,"United Kingdom","Gold"
"153",12536,260,12550.98,2800,"France","Gold"
"2421",15640,481,12403.21,6594,"United Kingdom","Gold"
"2680",16000,9,12393.7,5110,"United Kingdom","Gold"
"3644",17340,406,12323.29,5943,"United Kingdom","Gold"
"582",13113,201,12245.96,3050,"United Kingdom","Gold"
"274",12682,523,12241.92,5565,"France","Gold"
"1663",14606,2697,12126.8000000001,6221,"United Kingdom","Gold"
"168",12557,33,11990.96,4384,"Spain","Gold"
"460",12939,47,11581.8,4876,"United Kingdom","Gold"
"2038",15125,126,11428.88,6169,"United Kingdom","Gold"
"1360",14194,578,11329.62,5838,"United Kingdom","Gold"
"482",12971,305,11189.91,9289,"United Kingdom","Gold"
"1869",14895,496,11094.01,4833,"United Kingdom","Gold"
"2303",15482,98,11054.96,5020,"United Kingdom","Gold"
"3825",17581,438,11012.14,5913,"United Kingdom","Gold"
"51",12409,107,10893.27,5539,"Switzerland","Gold"
"734",13319,476,10845.55,4724,"United Kingdom","Gold"
"3490",17107,417,10798.48,4836,"United Kingdom","Gold"
"750",13340,134,10736.48,5770,"United Kingdom","Gold"
"1781",14769,1089,10669.75,7432,"United Kingdom","Gold"
"3511",17139,475,10623.47,5146,"United Kingdom","Gold"
"3255",16779,331,10600.34,5311,"United Kingdom","Gold"
"4031",17865,369,10509.72,5753,"United Kingdom","Gold"
"2133",15251,111,10484.99,6171,"United Kingdom","Gold"
"3921",17706,380,10470.59,3897,"United Kingdom","Gold"
"1268",14062,111,10464.85,5593,"United Kingdom","Gold"
"2404",15615,423,10399.74,5508,"United Kingdom","Gold"
"2316",15502,213,10384.93,4236,"United Kingdom","Gold"
"2816",16180,162,10254.18,5867,"United Kingdom","Gold"
"3304",16843,375,10136.57,10111,"United Kingdom","Gold"
"502",13001,339,9818.82000000001,5505,"United Kingdom","Gold"
"646",13199,119,9817.12,6176,"United Kingdom","Gold"
"197",12590,67,9793.46,4259,"Germany","Gold"
"1999",15078,440,9743.11000000002,5105,"United Kingdom","Gold"
"295",12709,208,9736.51999999999,3936,"Germany","Gold"
"830",13458,382,9646.57,5508,"United Kingdom","Gold"
"1755",14733,202,9585.91,3764,"United Kingdom","Gold"
"3066",16523,290,9418.47000000001,4265,"United Kingdom","Gold"
"177",12567,443,9301.87999999999,4285,"France","Gold"
"1484",14367,524,9261.52000000001,4438,"United Kingdom","Gold"
"1708",14667,572,9191.2,5345,"United Kingdom","Gold"
"4195",18092,89,9068.26,4252,"United Kingdom","Gold"
"1197",13969,625,9048.94,4538,"United Kingdom","Gold"
"853",13488,422,8968.31,4518,"United Kingdom","Gold"
"87",12451,351,8901.87,6556,"Switzerland","Gold"
"564",13090,152,8826.07,2258,"United Kingdom","Gold"
"2707",16033,1136,8811.44999999999,3538,"United Kingdom","Gold"
"3583",17243,398,8642,3367,"United Kingdom","Gold"
"3158",16656,73,8625.8,8894,"United Kingdom","Gold"
"3424",17017,249,8602.16,6643,"United Kingdom","Gold"
"1604",14527,971,8503.86999999996,2088,"United Kingdom","Gold"
"275",12683,342,8446.57,4963,"France","Gold"
"4230",18139,159,8438.34,5557,"United Kingdom","Gold"
"2213",15358,549,8317.19999999999,7026,"United Kingdom","Gold"
"3090",16558,452,8210.69000000001,5325,"United Kingdom","Gold"
"1264",14056,1101,8165.19999999998,4256,"United Kingdom","Gold"
"1897",14936,364,8137.02,4085,"Channel Islands","Gold"
"3170",16672,114,8134.94,2832,"United Kingdom","Gold"
"3623",17306,64,8121.31,11291,"United Kingdom","Gold"
"1115",13854,110,8109.52,2296,"United Kingdom","Gold"
"1905",14952,138,8099.49,3355,"United Kingdom","Gold"
"4208",18109,444,8052.97,4237,"United Kingdom","Gold"
"67",12428,294,7956.46,3536,"Finland","Gold"
"2164",15290,204,7943.22,4501,"United Kingdom","Gold"
"1799",14796,1133,7931.13999999998,5994,"United Kingdom","Gold"
"1832",14849,388,7930.54,5694,"United Kingdom","Gold"
"3994",17811,851,7837.72999999999,4177,"United Kingdom","Gold"
"567",13093,159,7832.47,3961,"United Kingdom","Gold"
"335",12757,370,7832.1,2382,"Portugal","Gold"
"953",13629,59,7792.36,4372,"United Kingdom","Gold"
"1970",15044,453,7700.23,2795,"United Kingdom","Gold"
"2088",15194,310,7616.53,5703,"United Kingdom","Gold"
"4254",18172,189,7561.68,3184,"United Kingdom","Gold"
"74",12435,35,7471.09,2031,"Denmark","Gold"
"692",13263,1677,7454.06999999996,4780,"United Kingdom","Gold"
"486",12980,20,7374.9,886,"United Kingdom","Gold"
"2292",15465,97,7354.62,1257,"United Kingdom","Gold"
"3689",17396,27,7330.8,2005,"United Kingdom","Gold"
"104",12474,421,7326.89,4833,"Germany","Gold"
"4299",18229,164,7276.9,2488,"United Kingdom","Gold"
"516",13018,457,7260,5429,"United Kingdom","Gold"
"3359",16923,672,7247.60999999998,3417,"United Kingdom","Gold"
"3322",16873,279,7123.62,3840,"United Kingdom","Gold"
"739",13324,75,7121.94999999999,5205,"United Kingdom","Gold"
"190",12583,245,7120.87999999999,5030,"France","Gold"
"3224",16745,354,7120.10000000001,6713,"United Kingdom","Gold"
"3213",16729,654,7112.81999999999,5745,"United Kingdom","Gold"
"1210",13985,349,7030.13000000001,3423,"United Kingdom","Gold"
"1912",14961,311,7009.28,3696,"United Kingdom","Gold"
"362",12798,8,6977.04,5256,"Japan","Gold"
"341",12766,308,6929.63,3598,"Portugal","Gold"
"493",12989,64,6924.11,2943,"United Kingdom","Gold"
"520",13027,26,6912,17280,"United Kingdom","Gold"
"2823",16187,295,6911.44,5048,"United Kingdom","Gold"
"3198",16713,622,6906.53000000001,4272,"United Kingdom","Gold"
"3705",17416,269,6893.42,4302,"United Kingdom","Gold"
"292",12705,333,6853.29,3985,"Germany","Gold"
"106",12476,233,6816.42,2408,"Germany","Gold"
"382",12830,38,6814.64,9848,"United Kingdom","Gold"
"1952",15023,561,6790.95999999999,2867,"United Kingdom","Gold"
"2392",15601,410,6776.56,4983,"United Kingdom","Gold"
"3154",16652,118,6773.97,3283,"United Kingdom","Gold"
"3073",16532,4,6748.8,2016,"United Kingdom","Gold"
"4167",18055,358,6743.39,2439,"United Kingdom","Gold"
"920",13576,126,6717.34,2646,"United Kingdom","Gold"
"2939",16353,94,6675.71,2006,"United Kingdom","Gold"
"2132",15249,349,6673.46000000001,3565,"United Kingdom","Gold"
"3642",17338,753,6643.92999999999,3128,"United Kingdom","Gold"
"2818",16182,28,6617.65,3791,"United Kingdom","Gold"
"3225",16746,444,6586.06000000001,4629,"United Kingdom","Gold"
"2052",15144,217,6580.44000000001,3050,"United Kingdom","Gold"
"102",12472,339,6572.11,4148,"Germany","Gold"
"3282",16814,324,6509.1,2769,"United Kingdom","Gold"
"229",12626,291,6500.78,3423,"Germany","Gold"
"70",12431,236,6487.45,2918,"Australia","Gold"
"2463",15694,78,6479.4,1677,"United Kingdom","Gold"
"4293",18223,271,6469.54,2936,"United Kingdom","Gold"
"663",13225,32,6463.84,3416,"United Kingdom","Gold"
"1128",13871,334,6373.25,2782,"United Kingdom","Gold"
"982",13668,470,6363.58999999998,3742,"United Kingdom","Gold"
"574",13102,301,6361.69,4180,"United Kingdom","Gold"
"1009",13709,335,6298.15,3514,"United Kingdom","Gold"
"2775",16126,117,6287.77,2125,"United Kingdom","Gold"
"13",12359,244,6263.48000000001,1596,"Cyprus","Gold"
"3629",17315,471,6252.18,3864,"United Kingdom","Gold"
"1939",15005,1109,6229.91999999999,4232,"United Kingdom","Gold"
"11",12357,131,6207.67,2708,"Switzerland","Gold"
"3771",17509,366,6115.14,3534,"United Kingdom","Gold"
"2639",15939,76,6115.01,4728,"United Kingdom","Gold"
"803",13418,303,6112.43,3906,"United Kingdom","Gold"
"1756",14735,193,6050.69,2252,"United Kingdom","Gold"
"1265",14057,279,6013.11,4797,"United Kingdom","Gold"
"1267",14060,198,6005.72,5344,"United Kingdom","Gold"
"570",13097,422,6000.51999999999,2361,"United Kingdom","Gold"
"236",12637,387,5979.45,2975,"France","Gold"
"731",13316,87,5977.73,6948,"United Kingdom","Gold"
"2230",15382,301,5940.71,4000,"United Kingdom","Gold"
"1588",14505,798,5902.68999999999,2758,"United Kingdom","Gold"
"1517",14415,590,5900.28,3011,"United Kingdom","Gold"
"1899",14944,170,5900.25,2815,"United Kingdom","Gold"
"893",13534,296,5870.08000000002,2961,"United Kingdom","Gold"
"651",13209,319,5843.41,4233,"United Kingdom","Gold"
"538",13050,403,5836.86,3748,"United Kingdom","Iron"
"305",12720,353,5765.13,4668,"Germany","Iron"
"2106",15218,166,5756.89,3329,"United Kingdom","Iron"
"632",13178,265,5725.47,3570,"United Kingdom","Iron"
"3905",17686,285,5722.51000000001,2477,"United Kingdom","Iron"
"3085",16553,84,5719.82,4600,"United Kingdom","Iron"
"837",13468,302,5704.97,2589,"United Kingdom","Iron"
"1302",14110,156,5683.15,2457,"United Kingdom","Iron"
"3929",17716,245,5655.99,3072,"United Kingdom","Iron"
"505",13004,404,5655.91,4822,"United Kingdom","Iron"
"4215",18118,1279,5653.81999999997,2882,"United Kingdom","Iron"
"1257",14049,485,5643.47,3847,"United Kingdom","Iron"
"1720",14688,327,5630.87,3621,"United Kingdom","Iron"
"3957",17757,740,5601.53999999999,3317,"United Kingdom","Iron"
"111",12481,217,5596.32,3304,"Germany","Iron"
"3449",17049,315,5593.38000000001,2632,"United Kingdom","Iron"
"390",12839,314,5591.42,3807,"United Kingdom","Iron"
"2801",16161,473,5558.61,2598,"United Kingdom","Iron"
"3244",16767,221,5545.2,4423,"United Kingdom","Iron"
"2545",15805,301,5528.48,3387,"United Kingdom","Iron"
"4295",18225,271,5509.12,3244,"United Kingdom","Iron"
"155",12539,272,5478.65,2061,"Spain","Iron"
"3123",16609,275,5478.46000000001,2408,"United Kingdom","Iron"
"3404",16985,120,5464.12,1832,"United Kingdom","Iron"
"2879",16265,257,5432,2634,"United Kingdom","Iron"
"4274",18198,159,5425.56,4074,"United Kingdom","Iron"
"116",12490,245,5417.93,3064,"France","Iron"
"3993",17809,61,5411.91,2057,"United Kingdom","Iron"
"3190",16701,144,5398.3,6393,"United Kingdom","Iron"
"3931",17719,274,5396.04,2466,"United Kingdom","Iron"
"4018",17850,297,5391.21000000001,1733,"United Kingdom","Iron"
"697",13269,315,5328.53,3508,"United Kingdom","Iron"
"3939",17730,218,5298.48,3576,"United Kingdom","Iron"
"2058",15150,340,5274.51999999999,3633,"United Kingdom","Iron"
"2901",16303,160,5266.73,2609,"United Kingdom","Iron"
"3458",17061,99,5232.23,1526,"United Kingdom","Iron"
"4296",18226,242,5228.05,3466,"United Kingdom","Iron"
"1972",15046,206,5213.77,3451,"United Kingdom","Iron"
"1047",13756,142,5189.51999999999,3188,"United Kingdom","Iron"
"2827",16191,134,5180.52,3351,"United Kingdom","Iron"
"16",12362,263,5177.68,2212,"Belgium","Iron"
"2876",16258,133,5173.51,2970,"United Kingdom","Iron"
"2488",15727,300,5158.96,3049,"United Kingdom","Iron"
"4024",17858,199,5155.66,2706,"United Kingdom","Iron"
"936",13599,247,5153.67,3294,"United Kingdom","Iron"
"1180",13941,45,5112.96,2364,"United Kingdom","Iron"
"3189",16700,308,5076.55,4024,"United Kingdom","Iron"
"1634",14562,423,5074.77,1834,"United Kingdom","Iron"
"2172",15301,243,5070.35,2775,"United Kingdom","Iron"
"602",13139,170,5064.94,2425,"United Kingdom","Iron"
"2617",15903,73,5051.76,2404,"United Kingdom","Iron"
"3840",17602,557,5048.17,4143,"United Kingdom","Iron"
"2481",15719,937,5045.61,2725,"United Kingdom","Iron"
"71",12432,107,5039.42,1799,"Norway","Iron"
"3712",17426,271,5037.26,3094,"United Kingdom","Iron"
"1769",14755,235,5010.28,2219,"United Kingdom","Iron"
"80",12444,177,5005.46,1155,"Norway","Iron"
"1455",14329,257,4984.84,3071,"United Kingdom","Iron"
"1960",15032,52,4959.1,2968,"United Kingdom","Iron"
"1295",14101,32,4956.79,6542,"United Kingdom","Iron"
"2353",15547,702,4954.83999999999,4032,"United Kingdom","Iron"
"76",12437,200,4951.41,2923,"France","Iron"
"1737",14709,196,4921.04000000001,2484,"United Kingdom","Iron"
"2530",15786,266,4917.2,3352,"United Kingdom","Iron"
"287",12700,267,4909.99000000001,2943,"France","Iron"
"3507",17133,27,4892.24,2730,"United Kingdom","Iron"
"260",12664,37,4881.88,1203,"Finland","Iron"
"1432",14292,100,4871.93,1663,"United Kingdom","Iron"
"3877",17652,259,4867.72,2509,"United Kingdom","Iron"
"279",12688,170,4858.81,3016,"Israel","Iron"
"2495",15738,173,4812.42,2982,"United Kingdom","Iron"
"511",13013,219,4810.94,2224,"United Kingdom","Iron"
"2360",15555,897,4792.71999999999,4436,"United Kingdom","Iron"
"2169",15298,191,4784.9,3104,"United Kingdom","Iron"
"2084",15187,90,4760.58,1883,"United Kingdom","Iron"
"3906",17690,256,4757.95,1773,"United Kingdom","Iron"
"2059",15152,271,4745.69,2704,"United Kingdom","Iron"
"3207",16722,225,4730.81,5001,"United Kingdom","Iron"
"1353",14180,239,4728.62,717,"United Kingdom","Iron"
"3665",17365,465,4701.56,4697,"United Kingdom","Iron"
"472",12955,178,4697.16,3616,"United Kingdom","Iron"
"299",12714,258,4693.85999999999,3057,"France","Iron"
"1338",14159,1201,4686.75999999999,4403,"United Kingdom","Iron"
"1358",14191,259,4684.76,3662,"United Kingdom","Iron"
"1319",14135,133,4675.31,3838,"United Kingdom","Iron"
"2165",15291,103,4668.3,2103,"United Kingdom","Iron"
"1357",14189,265,4654.08,3937,"United Kingdom","Iron"
"1499",14390,286,4652.82,2136,"United Kingdom","Iron"
"1075",13802,60,4599.42,2572,"United Kingdom","Iron"
"1426",14286,279,4598.75,4314,"United Kingdom","Iron"
"2009",15093,108,4597.02,3760,"United Kingdom","Iron"
"3366",16931,897,4596.71999999999,3152,"United Kingdom","Iron"
"1224",14004,171,4582.64,2668,"United Kingdom","Iron"
"3847",17613,312,4559.15,2496,"United Kingdom","Iron"
"3462",17068,296,4552.14,2164,"United Kingdom","Iron"
"695",13267,211,4521.49,1969,"United Kingdom","Iron"
"113",12484,345,4518.12,2183,"Spain","Iron"
"2170",15299,7,4507.01,2948,"United Kingdom","Iron"
"144",12524,144,4485.72,3699,"Germany","Iron"
"1526",14426,224,4481.67,2699,"United Kingdom","Iron"
"3403",16984,407,4481.35,2423,"United Kingdom","Iron"
"230",12627,230,4478.53,2752,"Germany","Iron"
"4116",17975,295,4471.11,1562,"United Kingdom","Iron"
"3664",17364,410,4456.18,2681,"United Kingdom","Iron"
"1284",14085,450,4448.54,3184,"United Kingdom","Iron"
"551",13069,425,4436.11999999999,5885,"United Kingdom","Iron"
